v1,i-2,i-1,i+1,i+2
1,13,14,2,3
2,14,1,3,4
3,1,2,4,5
4,2,3,5,6
5,3,4,6,7
6,4,5,7,8
7,5,6,8,9
8,6,7,9,10
9,7,8,10,11
10,8,9,11,12
11,9,10,12,13
12,10,11,13,14
13,11,12,14,1
14,12,13,1,2
